PRDT_CD,ITEM_GROUP,SH_STOCK_QTY,FILE,IMG_URL
M21N3ACP7701N,볼캡/햇/비니,1217,M21N3ACP7701N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M21N3ACP7701N50NYS/thnail/FE81C6D534C14291897B8019792F7FF9.png/dims/resize/1200x1200
M21N3ACP6601N,볼캡/햇/비니,997,M21N3ACP6601N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M21N3ACP6601N50NYS/thnail/06177FEB44DF441AAE5FBAA9ED7CD08E.png/dims/resize/1200x1200
M25N3ACPB245N,볼캡/햇/비니,833,M25N3ACPB245N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB245N07NYS/thnail/884D00457D874E35847EEB3D7178E759.png/dims/resize/1200x1200
M24N3ACPVV14N,볼캡/햇/비니,542,M24N3ACPVV14N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M24N3ACPVV14N50GRD/thnail/6D5844B4AF3F4780A7D19AE23EDED64D.png/dims/resize/1200x1200
M25N3ACPV315N,볼캡/햇/비니,392,M25N3ACPV315N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPV315N07MAL/thnail/B700726829DD42C18E4FB46A72A882D6.png/dims/resize/1200x1200
M24N3ACPVV34N,볼캡/햇/비니,338,M24N3ACPVV34N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M24N3ACPVV34N50CGS/thnail/05FE91F8E76E4BF3BD1D126D10A02DF5.png/dims/resize/1200x1200
M26N3ACPB096N,볼캡/햇/비니,330,M26N3ACPB096N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB096N50CGS/thnail/E5A99D72074A46F484A458CE1D0686D1.png/dims/resize/1200x1200
M25N3ACPB045N,볼캡/햇/비니,309,M25N3ACPB045N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB045N50NYS/thnail/62E8A8AAAC5F4B5CAFB6A7D9B9880BA6.png/dims/resize/1200x1200
M25N3ACPBB15N,볼캡/햇/비니,277,M25N3ACPBB15N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPBB16N50BKS/thnail/5CFF437888E2493B9F2EA29E6F556ECA.png/dims/resize/1200x1200
M26S3ABNB0163,볼캡/햇/비니,275,M26S3ABNB0163.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ABNB016350BKS/thnail/85B9D52A3DEA4EB3A6F0590D10DF21F5.png/dims/resize/1200x1200
M22N3ACP0802N,볼캡/햇/비니,261,M22N3ACP0802N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M22N3ACP0802N50BKS/thnail/CC1B34D85FF049AC8637D71A63DE9817.png/dims/resize/1200x1200
M26N3ACPB126N,볼캡/햇/비니,245,M26N3ACPB126N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB126N07CGS/thnail/6562FCEE8C06464DB23FC6573A7C251C.png/dims/resize/1200x1200
M26N3ACPV106N,볼캡/햇/비니,241,M26N3ACPV106N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPV106N50GRS/thnail/CD38167143754F898EB968DF4D7FE245.png/dims/resize/1200x1200
M26S3ABNB0263,볼캡/햇/비니,224,M26S3ABNB0263.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ABNB026350BKS/thnail/6DCEF8AFBE524C05A2E771DC68E70EBE.png/dims/resize/1200x1200
M26N3ACPB296N,볼캡/햇/비니,213,M26N3ACPB296N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB296N43RDS/thnail/2EB64EA42C314252B48BBB16A4FE317D.png/dims/resize/1200x1200
