PRDT_CD,ITEM_GROUP,SH_STOCK_QTY,FILE,IMG_URL
M26N3ACVSP46N,캔버스화,113,M26N3ACVSP46N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACVSP46N07CRS/thnail/EFDC6DFDA2504496B4A8D2E8A13B97F5.png/dims/resize/1200x1200
M26N3ACVTL16N,캔버스화,96,M26N3ACVTL16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACVTL16N07SIS/thnail/577405CF366241DE8D5737876A80F53B.png/dims/resize/1200x1200
M26N3ASXCB26N,캔버스화,91,M26N3ASXCB26N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXCB16N50WHS/thnail/55B0493E905F49F197626CC8FB0B2485.png/dims/resize/1200x1200
M26N3ARNWR16N,운동화,88,M26N3ARNWR16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ARNWR16N50BKS/thnail/3C46992A6B3C4E728B6E06F39EDA0BB6.png/dims/resize/1200x1200
M26N3ASXM096N,캔버스화,79,M26N3ASXM096N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXM096N50WHS/thnail/AD0C06AA5D1340A594F59B4BD9C6684C.png/dims/resize/1200x1200
M25N3ASHC055N,운동화,78,M25N3ASHC055N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHW075N50CGS/thnail/7F1E24623C02485C83659AADAEEC559A.jpg/dims/resize/1200x1200
M25N3ASHW075N,운동화,73,M25N3ASHW075N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHW075N50CGS/thnail/7F1E24623C02485C83659AADAEEC559A.jpg/dims/resize/1200x1200
M25N3ASHWD15N,운동화,68,M25N3ASHWD15N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHWD15N50BKS/thnail/EE3F1AA4AC474F56B08C389030B7E61E.png/dims/resize/1200x1200
M26N3ASXL156N,캔버스화,63,M26N3ASXL156N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXL156N50GRD/thnail/76FA678AACC84F8E9FA2F92DA51C99D1.png/dims/resize/1200x1200
M26N3ASXC016N,캔버스화,61,M26N3ASXC016N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXC016N50WHS/thnail/8000BAADA61740D8BD1022433EA93B41.png/dims/resize/1200x1200
